Data e Hora,Quantidade Entregue
2023-09-19 19:59:38,1500
2023-09-19 20:06:12,2500
2023-09-19 20:08:00,1500
2023-09-19 20:09:38,1500
2023-09-19 20:11:04,1500
2023-09-19 20:12:58,1000
2023-09-19 20:14:32,2500
2023-09-19 20:16:12,1000
2023-09-19 20:17:58,2500
2023-09-19 20:19:40,3000
2023-09-19 20:21:16,1000
2023-09-19 20:22:54,2000
2023-09-19 20:24:32,1000
2023-09-19 20:26:20,1500
2023-09-19 20:27:58,2500
2023-09-19 20:29:26,3000
2023-09-19 20:31:04,1000
2023-09-19 20:32:46,2500
2023-09-19 20:34:40,2500
2023-09-19 20:55:39,2500
2023-09-19 20:58:42,3000
2023-09-19 21:01:35,3000
2023-09-19 21:04:56,3000
2023-09-19 21:06:31,1000
2023-09-19 21:07:38,2000
2023-09-19 21:09:20,1500
2023-09-19 21:10:35,2500
2023-09-19 21:12:11,1000
2023-09-19 21:13:49,3000
2023-09-19 21:15:31,1500
2023-09-19 21:17:15,3000
2023-09-19 21:19:01,2500
2023-09-19 21:20:37,2000
2023-09-19 21:22:23,2500
2023-09-19 21:23:47,2000
