Data,acao, Quantidade
2023-09-17 17:10:11,Entrega,1500
2023-09-17 17:19:27,Entrega,1500
2023-09-17 17:22:29,Entrega,2000
2023-09-17 17:25:54,Entrega,1500
2023-09-17 17:42:21,Entrega,1000
2023-09-17 17:43:44,Entrega,2500
2023-09-17 17:49:40,Entrega,1000
2023-09-17 17:54:15,Entrega,3000
2023-09-17 18:46:03,Entrega,2500
2023-09-18 10:54:52,Entrega,2500
2023-09-18 11:08:54,Entrega,2500
2023-09-18 11:10:34,Entrega,2500
2023-09-18 11:13:51,Entrega,1000
2023-09-18 11:19:46,Entrega,1000
2023-09-18 11:25:49,Entrega,2500
2023-09-18 12:02:25,Entrega,1500
2023-09-18 12:57:47,Entrega,1000
2023-09-18 13:11:14,Entrega,1500
2023-09-18 13:14:40,Entrega,3000
2023-09-18 13:18:50,Entrega,1500
2023-09-18 13:21:23,Entrega,1000
2023-09-18 13:24:26,Entrega,1500
2023-09-18 13:25:23,Entrega,2500
2023-09-18 13:27:14,Entrega,3000
2023-09-18 13:53:51,Entrega,2000
2023-09-18 13:55:31,Entrega,3000
2023-09-18 13:56:52,Entrega,2500
2023-09-18 13:58:32,Entrega,2000
2023-09-18 14:00:12,Entrega,1500
2023-09-18 14:01:52,Entrega,2000
2023-09-18 14:03:32,Entrega,2000
2023-09-18 14:05:12,Entrega,2500
2023-09-18 14:06:52,Entrega,1000
2023-09-18 14:08:32,Entrega,2500
2023-09-18 14:10:12,Entrega,2500
2023-09-18 14:11:52,Entrega,1500
2023-09-18 14:13:32,Entrega,1500
